incident_id,category,sub_category,priority,created_at,resolved_at,assigned_group,description,user_department
INC-000001,Aplicaciones,Login,P3,2025-10-11 01:49:34,2025-10-12 15:27:17,Sistemas N2,Aplicaciones: Login. Prioridad P3. Usuario de Recursos Humanos reporta problema. Atendido por Sistemas N2.,Recursos Humanos
INC-000002,Aplicaciones,Login,P2,2025-08-22 00:15:34,2025-08-22 12:06:09,Seguridad N2,Aplicaciones: Login. Prioridad P2. Usuario de Ventas reporta problema. Atendido por Seguridad N2.,Ventas
INC-000003,Correo,Sin acceso,P3,2025-10-10 06:39:34,2025-10-11 07:28:13,Aplicaciones N2,Correo: Sin acceso. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Aplicaciones N2.,Atención a Clientes
INC-000004,Base de datos,Conexión,P3,2025-11-10 03:11:34,2025-11-12 04:11:10,Redes N2,Base de datos: Conexión. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Redes N2.,Atención a Clientes
INC-000005,Correo,Retraso,P2,2025-11-20 00:24:34,2025-11-20 12:34:37,Soporte en Sitio N1,Correo: Retraso. Prioridad P2. Usuario de Finanzas reporta problema. Atendido por Soporte en Sitio N1.,Finanzas
INC-000006,Seguridad,Políticas,P3,2025-12-30 01:01:34,2025-12-31 06:24:53,Service Desk N1,Seguridad: Políticas. Prioridad P3. Usuario de Logística reporta problema. Atendido por Service Desk N1.,Logística
INC-000007,Impresoras,Atasco,P3,2026-01-09 02:47:34,2026-01-10 08:50:24,Sistemas N2,Impresoras: Atasco. Prioridad P3. Usuario de TI reporta problema. Atendido por Sistemas N2.,TI
INC-000008,Aplicaciones,Login,P3,2025-09-04 12:16:34,2025-09-05 05:52:32,Aplicaciones N2,Aplicaciones: Login. Prioridad P3. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing
INC-000009,Aplicaciones,Actualización,P2,2026-01-24 12:25:34,2026-01-25 03:33:46,Sistemas N2,Aplicaciones: Actualización. Prioridad P2. Usuario de Logística reporta problema. Atendido por Sistemas N2.,Logística
INC-000010,Hardware,Disco,P2,2026-02-02 03:46:34,2026-02-02 19:23:41,Base de Datos N2,Hardware: Disco. Prioridad P2. Usuario de Recursos Humanos reporta problema. Atendido por Base de Datos N2.,Recursos Humanos
INC-000011,Aplicaciones,Errores 500,P3,2025-12-11 05:19:34,2025-12-12 23:35:54,Aplicaciones N2,Aplicaciones: Errores 500. Prioridad P3. Usuario de Operaciones reporta problema. Atendido por Aplicaciones N2.,Operaciones
INC-000012,Virtualización,Migración,P3,2025-10-12 12:04:34,2025-10-14 23:43:25,Base de Datos N2,Virtualización: Migración. Prioridad P3. Usuario de Ventas reporta problema. Atendido por Base de Datos N2.,Ventas
INC-000013,Seguridad,Accesos,P3,2025-10-08 08:58:34,2025-10-09 17:19:14,Sistemas N2,Seguridad: Accesos. Prioridad P3. Usuario de Finanzas reporta problema. Atendido por Sistemas N2.,Finanzas
INC-000014,Seguridad,Phishing,P3,2026-01-26 06:11:34,2026-01-28 00:20:00,Infraestructura N3,Seguridad: Phishing. Prioridad P3. Usuario de Atención a Clientes reporta problema. Atendido por Infraestructura N3.,Atención a Clientes
INC-000015,Base de datos,Bloqueos,P4,2026-01-11 05:59:34,2026-01-15 14:30:49,Aplicaciones N2,Base de datos: Bloqueos. Prioridad P4. Usuario de Marketing reporta problema. Atendido por Aplicaciones N2.,Marketing
